Magic1     Magic2     ID     MetaOffset Rel.Offset DataOffset W    H    Size       Format
----------------------------------------------------------------------
0xc0c26179 0x301600a  0      0x38cf0  0xf660   0x48368  240  320  92409      COMPRESSED
0x0        0x301640a  213    0x3a0e8  0x64abf  0x9ebbf  143  30   1407       COMPRESSED
0x0        0x301640a  214    0x3a100  0x6503e  0x9f156  143  30   1407       COMPRESSED
0x0        0x301640a  215    0x3a118  0x655bd  0x9f6ed  183  22   1349       COMPRESSED
0x0        0x301640a  216    0x3a130  0x65b02  0x9fc4a  143  30   1932       COMPRESSED
0x0        0x301640a  217    0x3a148  0x6628e  0xa03ee  143  30   1890       COMPRESSED
0x0        0x301640a  218    0x3a160  0x669f0  0xa0b68  143  30   1596       COMPRESSED
0x0        0x301640a  219    0x3a178  0x6702c  0xa11bc  143  30   1365       COMPRESSED
0x0        0x301640a  220    0x3a190  0x67581  0xa1729  143  30   1869       COMPRESSED
0x0        0x301640a  221    0x3a1a8  0x67cce  0xa1e8e  183  22   1748       COMPRESSED
0x0        0x301640a  222    0x3a1c0  0x683a2  0xa257a  183  22   1307       COMPRESSED
0x0        0x301640a  223    0x3a1d8  0x688bd  0xa2aad  143  30   1743       COMPRESSED
0x0        0x301640a  224    0x3a1f0  0x68f8c  0xa3194  143  30   2016       COMPRESSED
0x0        0x301640a  225    0x3a208  0x6976c  0xa398c  143  30   1995       COMPRESSED
0x0        0x301640a  226    0x3a220  0x69f37  0xa416f  143  30   1974       COMPRESSED
0x0        0x301640a  227    0x3a238  0x6a6ed  0xa493d  143  30   1701       COMPRESSED
0x0        0x301640a  228    0x3a250  0x6ad92  0xa4ffa  143  30   1869       COMPRESSED
0x0        0x301640a  229    0x3a268  0x6b4df  0xa575f  143  30   2373       COMPRESSED
0x0        0x301640a  230    0x3a280  0x6be24  0xa60bc  143  30   2457       COMPRESSED
0x0        0x301640a  231    0x3a298  0x6c7bd  0xa6a6d  183  22   1349       COMPRESSED
0x0        0x301640a  232    0x3a2b0  0x6cd02  0xa6fca  4    2    36         RAW
0x0        0x301640a  233    0x3a2c8  0x6cd26  0xa7006  4    2    36         RAW
0x0        0x301640a  234    0x3a2e0  0x6cd4a  0xa7042  4    2    36         RAW
0x0        0x301640a  235    0x3a2f8  0x6cd6e  0xa707e  4    2    36         RAW
